MOBIL, OIL AND GAS
ABBEYBDS, FINANCIAL SERVICES
ACADEMY, SERVICES
ACCESS, FINANCIAL SERVICES
AFRIPRUD, FINANCIAL SERVICES
AFRINSURE, FINANCIAL SERVICES
AFROMEDIA, SERVICES
AIICO, FINANCIAL SERVICES
AIRTELAFRI, ICT
ALEX, NATURAL RESOURCES
ANINO, OIL AND GAS
ARBICO, CONSTRUCTION/REAL ESTATE
ARDOVA, OIL AND GAS
ASOSAVINGS, FINANCIAL SERVICES
ABCTRANS, SERVICES
AUSTINLAZ, INDUSTRIAL GOODS
MANSARD, FINANCIAL SERVICES
BOCGAS, NATURAL RESOURCES
BERGER, INDUSTRIAL GOODS
BETAGLAS, INDUSTRIAL GOODS
BUACEMENT, INDUSTRIAL GOODS
CILEASING, SERVICES
CADBURY, CONSUMER GOODS
CAP, INDUSTRIAL GOODS
CAPHOTEL, SERVICES
CAPOIL, OIL AND GAS
CAVERTON, SERVICES
CHAMPION, CONSUMER GOODS
CHAMS, ICT
CHELLARAM, CONGLOMERATES
CONOIL, OIL AND GAS
CHIPLC, FINANCIAL SERVICES
CORNERST, FINANCIAL SERVICES
COURTVILLE, ICT
CUSTODIAN, FINANCIAL SERVICES
CUTIX, INDUSTRIAL GOODS
CWG, ICT
DAARCOMM, SERVICES
DANGCEM, INDUSTRIAL GOODS
DANGSUGAR, CONSUMER GOODS
DEAPCAP, FINANCIAL SERVICES
DUNLOP, CONSUMER GOODS
ETRANZACT, ICT
ETI, FINANCIAL SERVICES
EKOCORP, HEALTHCARE
ELLAHLAKES, AGRICULTURE
ETERNA, OIL AND GAS
EVANSMED, HEALTHCARE
FBNH, FINANCIAL SERVICES
FCMB, FINANCIAL SERVICES
FIDELITYBK, FINANCIAL SERVICES
FIDSON, HEALTHCARE
FLOURMILL, CONSUMER GOODS
FTNCOCOA, AGRICULTURE
GLAXOSMITH, HEALTHCARE
GSPECPLC, SERVICES
GOLDBREW, CONSUMER GOODS
GOLDINSURE, FINANCIAL SERVICES
VANLEER, INDUSTRIAL GOODS
GUARANTY, FINANCIAL SERVICES
GUINEAINS, FINANCIAL SERVICES
GUINNESS, CONSUMER GOODS
HONYFLOUR, CONSUMER GOODS
IKEJAHOTEL, SERVICES
INFINITY, FINANCIAL SERVICES
INTERLINK, SERVICES
INTBREW, CONSUMER GOODS
INTENEGINS, FINANCIAL SERVICES
JAIZBANK, FINANCIAL SERVICES
JAPAULOIL, OIL AND GAS
JOHNHOLT, CONGLOMERATES
JULI, SERVICES
JBERGER, CONSTRUCTION/REAL ESTATE
WAPCO, INDUSTRIAL GOODS
LASACO, FINANCIAL SERVICES
LAWUNION, FINANCIAL SERVICES
LEARNAFRCA, SERVICES
LINKASSURE, FINANCIAL SERVICES
LINKASSURE, FINANCIAL SERVICES
LIVESTOCK, AGRICULTURE
MAYBAKER, HEALTHCARE
MCNICHOLS, CONSUMER GOODS
MEDVIEWAIR, SERVICES
MEYER, INDUSTRIAL GOODS
MORISON, HEALTHCARE
MRS, OIL AND GAS
MTNN, ICT
MULTITREX, CONSUMER GOODS
MULTIVERSE, NATURAL RESOURCES
MBENEFIT, FINANCIAL SERVICES
NNFM, CONSUMER GOODS
NASCON, CONSUMER GOODS
NCR, ICT
NEIMETH, HEALTHCARE
NEIMETH, HEALTHCARE
NEM, FINANCIAL SERVICES
NESTLE, CONSUMER GOODS
NIGERINS, FINANCIAL SERVICES
NESF, FINANCIAL SERVICES
NIG-GERMAN, HEALTHCARE
NAHCO, SERVICES
NB, CONSUMER GOODS
ENAMELWA, CONSUMER GOODS
NOTORE, INDUSTRIAL GOODS
NPFMCRFBK, FINANCIAL SERVICES
OANDO, OIL AND GAS
OKOMUOIL, AGRICULTURE
OMATEK, ICT
OMOMORBNK, FINANCIAL SERVICES
PZ, CONSUMER GOODS
PHARMDEKO, HEALTHCARE
PORTPAINT, INDUSTRIAL GOODS
PORTPAINT, INDUSTRIAL GOODS
PREMPAINTS, INDUSTRIAL GOODS
PRESCO, AGRICULTURE
PRESTIGE, FINANCIAL SERVICES
RTBRISCOE, SERVICES
RAKUNITY, OIL AND GAS
REDSTAREX, SERVICES
REGALINS, FINANCIAL SERVICES
RESORTSAL, FINANCIAL SERVICES
ROADS, CONSTRUCTION/REAL ESTATE
ROYALEX, FINANCIAL SERVICES
SCOA, CONGLOMERATES
NSLTECH, SERVICES
SEPLAT, OIL AND GAS
SFSREIT, CONSTRUCTION/REAL ESTATE
SFSREIT, CONSTRUCTION/REAL ESTATE
SKYAVN, SERVICES
SMURFIT, CONSTRUCTION/REAL ESTATE
SOVRENINS, FINANCIAL SERVICES
STACO, FINANCIAL SERVICES
STANBIC, FINANCIAL SERVICES
STDINSURE, FINANCIAL SERVICES
STERLNBANK, FINANCIAL SERVICES
STUDPRESS, SERVICES
SUNUASSUR, FINANCIAL SERVICES
TANTALIZER, SERVICES
INITSPLC, SERVICES
THOMASWY, NATURAL RESOURCES
TOTAL, OIL AND GAS
TOURIST, SERVICES
TRANSEXPR, SERVICES
TRANSCOHOT, SERVICES
TRANSCORP, CONGLOMERATES
TRIPPLEG, ICT
UACN, CONGLOMERATES
UAC-PROP, CONSTRUCTION/REAL ESTATE
UNIC, FINANCIAL SERVICES
UNILEVER, CONSUMER GOODS
UBN, FINANCIAL SERVICES
UNIONDAC, HEALTHCARE
UNIONDICON, CONSUMER GOODS
UHOMREIT, CONSTRUCTION/REAL ESTATE
UNHOMES, FINANCIAL SERVICES
UBA, FINANCIAL SERVICES
UCAP, FINANCIAL SERVICES
UNITYBNK, FINANCIAL SERVICES
UNIVINSURE, FINANCIAL SERVICES
UPL, SERVICES
UPDCREIT, CONSTRUCTION/REAL ESTATE
VALUEFUND, FINANCIAL SERVICES
VERITASKAP, FINANCIAL SERVICES
VITAFOAM, CONSUMER GOODS
WAPIC, FINANCIAL SERVICES
WEMABANK, FINANCIAL SERVICES
ZENITHBANK, FINANCIAL SERVICES
